name,name_hiragana,name_romaji,latitude,longitude,group_code,operator_name
金田一温泉,きんたいちおんせん,kinntaichionnsenn,40.3231,141.30383,000657,アイジーアールいわて銀河鉄道
滝沢,たきざわ,takizawa,39.799,141.14956,000770,アイジーアールいわて銀河鉄道
小繋,こつなぎ,kotsunagi,40.12311,141.26042,000707,アイジーアールいわて銀河鉄道
奥中山高原,おくなかやまこうげん,okunakayamakougenn,40.06616,141.2285,000718,アイジーアールいわて銀河鉄道
目時,めとき,metoki,40.35205,141.28958,000651,アイジーアールいわて銀河鉄道
好摩,こうま,kouma,39.87416,141.17368,000757,アイジーアールいわて銀河鉄道
青山,あおやま,aoyama,39.72465,141.1183,000782,アイジーアールいわて銀河鉄道
巣子,すご,sugo,39.78343,141.14865,000771,アイジーアールいわて銀河鉄道
上総中野,かずさなかの,kazusanakano,35.25004,140.1996,005238,いすみ鉄道
大多喜,おおたき,ootaki,35.28654,140.24384,005145,いすみ鉄道
東総元,ひがしふさもと,higashifusamoto,35.25945,140.24763,005207,いすみ鉄道
上総中川,かずさなかがわ,kazusanakagawa,35.28271,140.28056,005154,いすみ鉄道
国吉,くによし,kuniyoshi,35.28043,140.31399,005160,いすみ鉄道
久我原,くがはら,kugahara,35.25022,140.24767,005236,いすみ鉄道
上総東,かずさあずま,kazusaazuma,35.26329,140.34491,005198,いすみ鉄道
西畑,にしはた,nishihata,35.25053,140.21518,005233,いすみ鉄道
小谷松,こやまつ,koyamatsu,35.26898,140.25104,005182,いすみ鉄道
総元,ふさもと,fusamoto,35.24057,140.24036,005257,いすみ鉄道
西大原,にしおおはら,nishioohara,35.26052,140.37798,005204,いすみ鉄道
新田野,にったの,nittano,35.27599,140.32853,005169,いすみ鉄道
大原,おおはら,oohara,35.25085,140.39103,005229,いすみ鉄道
西長田ゆりの里,にしながたゆりのさと,nishinagatayurinosato,36.15359,136.2065,002575,えちぜん鉄道
鷲塚針原,わしづかはりばら,washidukaharibara,36.12024,136.20481,002609,えちぜん鉄道
西別院,にしべついん,nishibetsuinn,36.07526,136.22299,002668,えちぜん鉄道
中角,なかつの,nakatsuno,36.10112,136.20445,002630,えちぜん鉄道
新田塚,にったづか,nittaduka,36.09258,136.20528,002638,えちぜん鉄道
番田,ばんでん,banndenn,36.21253,136.20252,002533,えちぜん鉄道
福井口,ふくいぐち,fukuiguchi,36.0715,136.2334,002677,えちぜん鉄道
三国,みくに,mikuni,36.21692,136.14995,002526,えちぜん鉄道
太郎丸エンゼルランド,たろうまるえんぜるらんど,taroumaruennzeruranndo,36.13134,136.20569,002599,えちぜん鉄道
福大前西福井,ふくだいまえにしふくい,fukudaimaenishifukui,36.07441,136.21013,002671,えちぜん鉄道
大関,おおぜき,oozeki,36.18663,136.20378,002556,えちぜん鉄道
三国神社,みくにじんじゃ,mikunijinnja,36.21489,136.15834,002530,えちぜん鉄道
水居,みずい,mizui,36.21921,136.17231,002524,えちぜん鉄道
あわら湯のまち,あわらゆのまち,awarayunomachi,36.22296,136.1938,002519,えちぜん鉄道
西春江ハートピア,にしはるえはーとぴあ,nishiharueha-topia,36.1389,136.20622,002591,えちぜん鉄道
田原町,たわらまち,tawaramachi,36.07486,136.21762,002669,えちぜん鉄道
下兵庫こうふく,しもひょうごこうふく,shimohyougokoufuku,36.17012,136.20259,002567,えちぜん鉄道
三国港,みくにみなと,mikuniminato,36.2201,136.14036,002522,えちぜん鉄道
本荘,ほんじょう,honnjou,36.20463,136.20316,002542,えちぜん鉄道
志比堺,しいざかい,shiizakai,36.09777,136.31101,002631,えちぜん鉄道
越前竹原,えちぜんたけはら,echizenntakehara,36.07393,136.41303,002673,えちぜん鉄道
保田,ほた,hota,36.06992,136.45165,002679,えちぜん鉄道
山王,さんのう,sannou,36.07912,136.39245,002659,えちぜん鉄道
勝山,かつやま,katsuyama,36.05592,136.4922,002697,えちぜん鉄道
越前野中,えちぜんのなか,echizennnonaka,36.08289,136.37688,002653,えちぜん鉄道
松岡,まつおか,matsuoka,36.09403,136.30173,002637,えちぜん鉄道
発坂,ほっさか,hossaka,36.07259,136.46616,002675,えちぜん鉄道
光明寺,こうみょうじ,koumyouji,36.08842,136.34455,002645,えちぜん鉄道
永平寺口,えいへいじぐち,eiheijiguchi,36.09581,136.32675,002634,えちぜん鉄道
小舟渡,こぶなと,kobunato,36.07553,136.43405,002664,えちぜん鉄道
轟,どめき,domeki,36.08684,136.3611,002648,えちぜん鉄道
下志比,しもしい,shimoshii,36.09063,136.33641,002641,えちぜん鉄道
比島,ひしま,hishima,36.06598,136.48411,002682,えちぜん鉄道
越前新保,えちぜんしんぼ,echizennshinnbo,36.08038,136.25095,002658,えちぜん鉄道
越前開発,えちぜんかいほつ,echizennkaihotsu,36.07531,136.24128,002667,えちぜん鉄道
福井,ふくい,fukui,36.06159,136.22322,002688,えちぜん鉄道
越前島橋,えちぜんしまばし,echizennshimabashi,36.09012,136.27727,002642,えちぜん鉄道
観音町,かんのんまち,kannnonnmachi,36.09183,136.28969,002639,えちぜん鉄道
東藤島,ひがしふじしま,higashifujishima,36.08663,136.26986,002649,えちぜん鉄道
新福井,しんふくい,shinnfukui,36.06484,136.22693,002685,えちぜん鉄道
追分口,おいわけぐち,oiwakeguchi,36.08249,136.26138,002654,えちぜん鉄道
東多良木,ひがしたらぎ,higashitaragi,32.27225,130.9508,009899,くま川鉄道
一武,いちぶ,ichibu,32.21456,130.83994,009917,くま川鉄道
木上,きのえ,kinoe,32.22428,130.85891,009913,くま川鉄道
公立病院前,こうりつびょういんまえ,kouritsubyouinnmae,32.25604,130.92189,009903,くま川鉄道
多良木,たらぎ,taragi,32.26276,130.93319,009902,くま川鉄道
あさぎり,あさぎり,asagiri,32.23625,130.89376,009909,くま川鉄道
湯前,ゆのまえ,yunomae,32.28137,130.97987,009897,くま川鉄道
新鶴羽,しんつるば,shinntsuruba,32.27545,130.96621,009898,くま川鉄道
肥後西村,ひごにしのむら,higonishinomura,32.20227,130.80887,009922,くま川鉄道
おかどめ幸福,おかどめこうふく,okadomekoufuku,32.23145,130.87511,009911,くま川鉄道
東免田,ひがしめんだ,higashimennda,32.2502,130.91302,009906,くま川鉄道
相良藩願成寺,さがらはんがんじょうじ,sagarahanngannjouji,32.21837,130.76964,009914,くま川鉄道
川村,かわむら,kawamura,32.20724,130.79535,009920,くま川鉄道
人吉温泉,ひとよしおんせん,hitoyoshionnsenn,32.21614,130.75382,009916,くま川鉄道
平原,ひらはら,hirahara,36.30864,138.45391,002414,しなの鉄道
屋代高校前,やしろこうこうまえ,yashirokoukoumae,36.54796,138.13249,002132,しなの鉄道
中軽井沢,なかかるいざわ,nakakaruizawa,36.34756,138.59321,002353,しなの鉄道
御代田,みよた,miyota,36.31899,138.50632,002395,しなの鉄道
軽井沢,かるいざわ,karuizawa,36.34271,138.63501,002361,しなの鉄道
信濃追分,しなのおいわけ,shinanooiwake,36.33545,138.5585,002371,しなの鉄道
田中,たなか,tanaka,36.35442,138.32921,002343,しなの鉄道
上田,うえだ,ueda,36.39588,138.25025,002275,しなの鉄道
西上田,にしうえだ,nishiueda,36.41688,138.20906,002243,しなの鉄道
戸倉,とぐら,togura,36.49287,138.15308,002185,しなの鉄道
坂城,さかき,sakaki,36.46198,138.18145,002211,しなの鉄道
信濃国分寺,しなのこくぶんじ,shinanokokubunnji,36.37832,138.27384,002303,しなの鉄道
大屋,おおや,ooya,36.36959,138.29713,002322,しなの鉄道
滋野,しげの,shigeno,36.34232,138.36391,002363,しなの鉄道
屋代,やしろ,yashiro,36.53242,138.1282,002152,しなの鉄道
テクノさかき,てくのさかき,tekunosakaki,36.44058,138.1882,002223,しなの鉄道
小諸,こもろ,komoro,36.32566,138.42284,002384,しなの鉄道
篠ノ井,しののい,shinonoi,36.57696,138.13807,002096,しなの鉄道
みどり中街,みどりなかまち,midorinakamachi,34.42765,132.59502,007972,スカイレールサービス
みどり中央,みどりちゅうおう,midorichuuou,34.43024,132.58961,007968,スカイレールサービス
みどり口,みどりぐち,midoriguchi,34.42233,132.59632,007978,スカイレールサービス
和倉温泉,わくらおんせん,wakuraonnsenn,37.0747,136.92583,001649,のと鉄道
七尾,ななお,nanao,37.04178,136.96422,001669,のと鉄道
笠師保,かさしほ,kasashiho,37.07951,136.85775,001648,のと鉄道
田鶴浜,たつるはま,tatsuruhama,37.06574,136.89147,001656,のと鉄道
西岸,にしぎし,nishigishi,37.14767,136.87416,001614,のと鉄道
穴水,あなみず,anamizu,37.22804,136.90459,001577,のと鉄道
能登中島,のとなかじま,notonakajima,37.10926,136.85362,001633,のと鉄道
能登鹿島,のとかしま,notokashima,37.17979,136.89786,001596,のと鉄道
桐生,きりゅう,kiryuu,36.4111,139.33325,002255,わたらせ渓谷鐵道
花輪,はなわ,hanawa,36.52083,139.3077,002164,わたらせ渓谷鐵道
水沼,みずぬま,mizunuma,36.49985,139.2776,002180,わたらせ渓谷鐵道
神戸,ごうど,goudo,36.53751,139.35657,002145,わたらせ渓谷鐵道
相老,あいおい,aioi,36.41039,139.30428,002258,わたらせ渓谷鐵道
通洞,つうどう,tsuudou,36.63687,139.43965,002039,わたらせ渓谷鐵道
上神梅,かみかんばい,kamikanbai,36.47007,139.25773,002203,わたらせ渓谷鐵道
間藤,まとう,matou,36.65354,139.45009,002018,わたらせ渓谷鐵道
足尾,あしお,ashio,36.64192,139.44778,002036,わたらせ渓谷鐵道
運動公園,うんどうこうえん,undoukouen,36.42041,139.30086,002238,わたらせ渓谷鐵道
小中,こなか,konaka,36.53566,139.3378,002147,わたらせ渓谷鐵道
本宿,もとじゅく,motojuku,36.48143,139.25935,002195,わたらせ渓谷鐵道
大間々,おおまま,oomama,36.43462,139.27755,002227,わたらせ渓谷鐵道
沢入,そうり,souri,36.58063,139.39629,002089,わたらせ渓谷鐵道
下新田,しもしんでん,shimoshinden,36.40778,139.31509,002261,わたらせ渓谷鐵道
原向,はらむこう,haramukou,36.61731,139.42053,002058,わたらせ渓谷鐵道
中野,なかの,nakano,36.52428,139.31717,002161,わたらせ渓谷鐵道
海部,かいふ,kaifu,33.59342,134.35199,009022,阿佐海岸鉄道
宍喰,ししくい,shishikui,33.56693,134.30072,009094,阿佐海岸鉄道
甲浦,かんのうら,kannoura,33.54688,134.28784,009190,阿佐海岸鉄道
福島,ふくしま,fukushima,37.75409,140.45939,001373,阿武隈急行
角田,すみだ,sumida,37.97929,140.77241,001274,阿武隈急行
南角田,みなみかくだ,minamikakuda,37.9649,140.76962,001278,阿武隈急行
大泉,おおいずみ,ooizumi,37.81989,140.56684,001335,阿武隈急行
保原,ほばら,hobara,37.81457,140.5566,001339,阿武隈急行
卸町,おろしまち,oroshimachi,37.79546,140.47948,001355,阿武隈急行
高子,たかこ,takako,37.80839,140.52718,001344,阿武隈急行
瀬上,せのうえ,senoue,37.80238,140.49857,001348,阿武隈急行
兜,かぶと,kabuto,37.89539,140.64652,001310,阿武隈急行
岡,おか,oka,38.01902,140.78034,001266,阿武隈急行
上保原,かみほばら,kamihobara,37.80961,140.54282,001343,阿武隈急行
二井田,にいだ,niida,37.82782,140.58038,001332,阿武隈急行
北丸森,きたまるもり,kitamarumori,37.94311,140.77182,001284,阿武隈急行
丸森,まるもり,marumori,37.93072,140.76172,001288,阿武隈急行
槻木,つきのき,tsukinoki,38.07914,140.81018,001236,阿武隈急行
横倉,よこくら,yokokura,37.99699,140.77605,001271,阿武隈急行
富野,とみの,tomino,37.87474,140.62747,001317,阿武隈急行
東船岡,ひがしふなおか,higashifunaoka,38.05013,140.78982,001253,阿武隈急行
梁川,やながわ,yanagawa,37.846,140.60347,001325,阿武隈急行
福島学院前,ふくしまがくいんまえ,fukushimagakuinnmae,37.79875,140.48859,001353,阿武隈急行
向瀬上,むかいせのうえ,mukaisenoue,37.80658,140.51033,001345,阿武隈急行
新田,にった,nitta,37.83776,140.59303,001327,阿武隈急行
やながわ希望の森公園前,やながわきぼうのもりこうえんまえ,yanagawakibounomorikouennmae,37.85787,140.61565,001322,阿武隈急行
あぶくま,あぶくま,abukuma,37.91341,140.68576,001295,阿武隈急行
新豊田,しんとよた,shinntoyota,35.08788,137.15354,005730,愛知環状鉄道
保見,ほみ,homi,35.13672,137.13436,005569,愛知環状鉄道
山口,やまぐち,yamaguchi,35.1979,137.1017,005358,愛知環状鉄道
大門,だいもん,daimon,34.98258,137.15474,006090,愛知環状鉄道
高蔵寺,こうぞうじ,kouzouji,35.26433,137.04326,005194,愛知環状鉄道
永覚,えかく,ekaku,35.02747,137.13898,005886,愛知環状鉄道
新上挙母,しんうわごろも,shinnuwagoromo,35.07179,137.15118,005761,愛知環状鉄道
八草,やくさ,yakusa,35.17572,137.10675,005427,愛知環状鉄道
末野原,すえのはら,suenohara,35.03954,137.1469,005857,愛知環状鉄道
瀬戸市,せとし,setoshi,35.22591,137.07844,005288,愛知環状鉄道
三河上郷,みかわかみごう,mikawakamigou,35.01241,137.13276,005946,愛知環状鉄道
北野桝塚,きたのますづか,kitanomasuduka,34.99629,137.13949,006025,愛知環状鉄道
中水野,なかみずの,nakamizuno,35.25046,137.07193,005235,愛知環状鉄道
三河豊田,みかわとよた,mikawatoyota,35.05544,137.15093,005817,愛知環状鉄道
篠原,ささばら,sasabara,35.15473,137.12077,005515,愛知環状鉄道
瀬戸口,せとぐち,setoguchi,35.20657,137.08213,005329,愛知環状鉄道
愛環梅坪,あいかんうめつぼ,aikannumetsubo,35.10516,137.16092,005682,愛知環状鉄道
四郷,しごう,shigou,35.12193,137.16269,005621,愛知環状鉄道
貝津,かいづ,kaizu,35.13312,137.14806,005577,愛知環状鉄道
北岡崎,きたおかざき,kitaokazaki,34.97226,137.1577,006127,愛知環状鉄道
岡崎,おかざき,okazaki,34.92578,137.15723,006251,愛知環状鉄道
中岡崎,なかおかざき,nakaokazaki,34.95634,137.15278,006171,愛知環状鉄道
六名,むつな,mutsuna,34.94129,137.15189,006208,愛知環状鉄道
杁ヶ池公園,いりがいけこうえん,irigaikekouenn,35.17175,137.0379,005443,愛知高速交通
陶磁資料館南,とうじしりょうかんみなみ,toujishiryoukannminami,35.17924,137.09705,005417,愛知高速交通
公園西,こうえんにし,kouennnishi,35.1743,137.07686,005433,愛知高速交通
愛・地球博記念公園,あい・ちきゅうはくきねんこうえん,ai・chikyuuhakukinennkouenn,35.17767,137.08754,005422,愛知高速交通
芸大通,げいだいどおり,geidaidoori,35.17188,137.06122,005442,愛知高速交通
長久手古戦場,ながくてこせんじょう,nagakutekosennjou,35.17147,137.04951,005445,愛知高速交通
はなみずき通,はなみずきどおり,hanamizukidoori,35.17752,137.03547,005424,愛知高速交通
藤が丘,ふじがおか,fujigaoka,35.18238,137.02186,005410,愛知高速交通
多宝塔,たほうとう,tahoutou,35.11644,135.77281,005641,鞍馬寺
山門,さんもん,sannmonn,35.11455,135.77288,005650,鞍馬寺
河芸,かわげ,kawage,34.78099,136.531,006706,伊勢鉄道
伊勢上野,いせうえの,iseueno,34.80034,136.54248,006626,伊勢鉄道
鈴鹿サーキット稲生,すずかさーきっといのう,suzukasa-kittoinou,34.8411,136.55522,006463,伊勢鉄道
中瀬古,なかせこ,nakaseko,34.81215,136.54305,006579,伊勢鉄道
鈴鹿,すずか,suzuka,34.87847,136.5888,006367,伊勢鉄道
玉垣,たまがき,tamagaki,34.85514,136.57003,006425,伊勢鉄道
徳田,とくだ,tokuda,34.82615,136.54399,006514,伊勢鉄道
河原田,かわらだ,kawarada,34.91115,136.5991,006285,伊勢鉄道
東一身田,ひがしいしんでん,higashiishinndenn,34.75874,136.5121,006802,伊勢鉄道
津,つ,tsu,34.73438,136.5106,006905,伊勢鉄道
稲梓,いなずさ,inazusa,34.72206,138.9494,006965,伊豆急行
伊豆熱川,いずあたがわ,izuatagawa,34.81721,139.06945,006557,伊豆急行
蓮台寺,れんだいじ,rendaiji,34.69947,138.94129,007079,伊豆急行
