uuid,name,name_hiragana,name_romaji,latitude,longitude,group_code,operator_uuid
b4b20c6b-6c04-44a0-b224-549a4b65cb1e,計算科学センター,けいさんかがくせんたー,keisannkagakusennta-,34.65481,135.22154,007403,ac881d6b-7114-4e22-81ae-be80a155966b
ecd52628-59b5-4cd5-a9e9-1c6c9561d523,神戸空港,こうべくうこう,koubekuukou,34.63735,135.22898,007482,ac881d6b-7114-4e22-81ae-be80a155966b
f507f4bb-5dda-4ffb-bb9f-65d9880ff492,岩瀬浜,いわせはま,iwasehama,36.76127,137.23411,001838,441f2e1e-41a9-411e-ba58-ae6869ac4430
7f7fe183-d685-4f3f-838d-c183a5810fd2,競輪場前,けいりんじょうまえ,keirinnjoumae,36.75749,137.23395,001843,441f2e1e-41a9-411e-ba58-ae6869ac4430
048eedaa-8d40-4f8d-8a0a-02218f91e00b,東岩瀬,ひがしいわせ,higashiiwase,36.75195,137.23051,001852,441f2e1e-41a9-411e-ba58-ae6869ac4430
016e7e3b-51eb-4b45-a75a-21ba38126c63,インテック本社前,いんてっくほんしゃまえ,inntekkuhonnshamae,36.70363,137.21642,001917,441f2e1e-41a9-411e-ba58-ae6869ac4430
f568cf43-437c-44b0-85fe-26f7aaca1e28,萩浦小学校前,はぎうらしょうがっこうまえ,hagiurashougakkoumae,36.74804,137.22836,001858,441f2e1e-41a9-411e-ba58-ae6869ac4430
b751dac3-659a-429b-bfd8-0cf7e6419226,蓮町（馬場記念公園前）,はすまち（ばばきねんこうえんまえ）,hasumachi（babakinennkouennmae）,36.74222,137.22759,001868,441f2e1e-41a9-411e-ba58-ae6869ac4430
c378ff07-2a5f-4359-b3cf-d66ebd0b80c2,犬島新町,いぬじましんまち,inujimashinnmachi,36.7351,137.22663,001879,441f2e1e-41a9-411e-ba58-ae6869ac4430
a1e12b08-054d-4861-8955-b81c26030619,城川原,じょうがわら,jougawara,36.73113,137.2261,001884,441f2e1e-41a9-411e-ba58-ae6869ac4430
3df56d16-ede7-45cb-a1ad-1e8b2ecc997d,越中中島,えっちゅうなかじま,ecchuunakajima,36.7222,137.2249,001893,441f2e1e-41a9-411e-ba58-ae6869ac4430
4a8d6af7-2f84-4966-80a0-c8c29806b086,粟島（大阪屋ショップ前）,あわじま（おおさかやしょっぷまえ）,awajima（oosakayashoppumae）,36.71915,137.22482,001900,441f2e1e-41a9-411e-ba58-ae6869ac4430
8e45df93-fb1a-4613-bb6c-9fdb299d0455,下奥井,しもおくい,shimookui,36.71192,137.22459,001906,441f2e1e-41a9-411e-ba58-ae6869ac4430
b478b30d-67a8-4fab-b31a-a52c2a79b13f,奥田中学校前,おくだちゅうがっこうまえ,okudachuugakkoumae,36.70357,137.22361,001918,441f2e1e-41a9-411e-ba58-ae6869ac4430
9abc1528-ba30-402d-b737-5653b81d1433,富山駅,とやまえき,toyamaeki,36.70175,137.213,001923,441f2e1e-41a9-411e-ba58-ae6869ac4430
71fbced3-5cd9-4d01-bc54-1929f1b00b02,盛岡,もりおか,morioka,39.70134,141.13644,000792,39c43f95-a917-4b98-abc8-91d421ba0166
