uuid,name,alias_name
9696b7ba-97f9-4460-a2bc-9d173d6acb5c,鹿児島市,鹿児島市電
d78ff059-ac91-48e7-8ce6-14a675fe07cf,鹿島臨海鉄道,鹿島臨海鉄道
fbbacf72-88d2-4833-b6fd-7a2d848c5c97,芝山鉄道,芝山鉄道
350eaf58-f02f-4604-b76a-13d064661cdd,若桜鉄道,若桜鉄道
3c44ee1b-954f-478d-a9b1-d36a94a2028f,首都圏新都市鉄道,つくばエクスプレス
dd07fa1a-dda8-42af-aee6-424e6aa81967,秋田内陸縦貫鉄道,秋田内陸縦貫鉄道
e42326ff-1940-4e6d-867f-a228ab1eb8cb,小田急電鉄,小田急電鉄
27bfd188-d2ad-4f15-8ff3-faa1bbc31d0a,小湊鐵道,小湊鐵道
302c43cc-8a21-4b0b-992e-ae3cbf6c9fd7,松浦鉄道,松浦鉄道
60ee7bee-e403-45e7-8558-818d0b7a9353,アルピコ交通,アルピコ交通
7a0ce08f-b566-45e8-b5e1-cc041d1cb8cb,湘南モノレール,湘南モノレール
8b3c461a-24ab-4628-a8cd-66c509ca045e,上信電鉄,上信電鉄
f430212f-4032-420c-97f6-e35ca3a4bd6e,上田電鉄,上田電鉄
2dd5f2fc-dbff-47e7-92e7-7081ff4b218c,上毛電気鉄道,上毛電気鉄道
592bf568-8ee6-4c29-b0f7-c8df4bdeb24c,信楽高原鐵道,信楽高原鐵道
cc1fc019-78cb-4e9d-b780-bf9b6c929ace,京成松戸線,京成松戸線
2833860e-1a2d-48cf-8ca7-1bcf3ad2d701,真岡鐵道,真岡鐵道
69094fc2-0a97-4f68-83bd-9281e61a1519,神戸市,神戸市営地下鉄
206da9bb-e2ca-4795-8990-49d1cf8c9550,こうべ未来都市機構,こうべ未来都市機構
fe50f0e8-ae2c-4f43-a041-228c2fc6d7ce,神戸電鉄,神戸電鉄
512c9719-b28c-45ca-a7e9-332107dcf4c4,水間鉄道,水間鉄道
872cc891-0744-46c7-b147-afe754068f68,水島臨海鉄道,水島臨海鉄道
cc3da528-00e6-40b6-8558-737ad57cbefb,西日本鉄道,西日本鉄道
8ff8add1-06ff-46b4-8501-e876506b1032,西日本旅客鉄道,JR西日本
cd90bfac-6241-4328-b07b-0bf3c1dfd6fd,えちごトキめき鉄道,えちごトキめき鉄道
174bc2bc-42ee-47fa-b4bc-d9f5cfe0512a,あいの風とやま鉄道,あいの風とやま鉄道
dd810042-e243-4286-8275-892fb04b3a0c,IRいしかわ鉄道,IRいしかわ鉄道
41756753-a765-49e5-a826-780c071de709,西武鉄道,西武鉄道
a67cc805-7e48-4a10-9fbd-37f9cd4f22bb,青い森鉄道,青い森鉄道
b0e058ef-824b-4a3a-8f0c-262deba4979e,静岡鉄道,静岡鉄道
85ba0fe1-e11a-4796-b917-ccbaba6c3521,仙台市,仙台市営地下鉄
aff1d6e3-5a51-44e5-801f-e59bd8b83d6b,千葉都市モノレール,千葉都市モノレール
446ccea4-7ef9-4b7c-b045-6a09f2cf7354,相模鉄道,相模鉄道
98583e4d-addf-49df-980e-9ee0ef0f6109,流鉄,流鉄
